Galaxy,P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1385,23678.87733630834,12283.94938937677,0.844737917506791,0.01211632657687139,1.612983030115911,0.023188678696956712,-0.017497752740988894,0.023375007327138132,-0.0034711490834524713,0.018737541843001398,5.0472305751244715,0.07256034684233899,5.632332486344884,0.08097192958744105,-0.18880244944617056,0.25221859655427076,0.003900016704869726,0.00016495372434056907,0.0054216612274667324,0.0002293126617808608,ALMOND
ngc1385,33111.41410389568,13870.45266630257,1.1661847045669398,0.009147607838179618,2.0863606657855427,0.01645754120325392,-0.028930697166999933,0.018371421087013548,0.042413850377591225,0.015841777744028458,6.528489851708557,0.05149775515398003,6.951979009348437,0.05483830426194813,-0.3121650288565157,0.19822941565004418,0.00625159191707172,0.00013321214979308086,0.008690735469007265,0.000185186680523401,ALMOND
ngc1385,46142.991673074175,23947.73772657572,1.7158409510848285,0.009122924117404231,2.905892249121586,0.015531559635437495,-0.028951333432511696,0.02327367129126466,0.03827146838193585,0.0170113802452092,9.092909183756086,0.048600240180900055,9.164097395787673,0.048980730531443153,-0.3123876961632102,0.2511251708970858,0.009299225672856171,0.00016495372434056907,0.012927444955052225,0.0002293126617808608,ALMOND
ngc1385,65502.5514113957,35191.95940634178,2.550375201516155,0.011866700301885328,4.1202476690671865,0.01934459793171632,0.009363514388301806,0.025774509747004615,0.08821777344792281,0.01913701957805574,12.892782889914734,0.06053172558017052,12.61051539604373,0.05920647729009285,0.10103322855823663,0.2781094604285538,0.014692630925897015,0.000170743326079019,0.020425160569427704,0.0002373611553241408,ALMOND
ngc1385,91341.8827388844,49046.67871790165,3.6590142335567832,0.018132864803150645,5.651327984183584,0.028444984341814344,-0.013043845474385304,0.022295063565396497,0.1337891793673407,0.02052410165928667,17.683729375490202,0.08900800070328402,16.214675124279637,0.08161376959691212,-0.14074435798788815,0.2405658986050478,0.02029027977888858,0.00017074332607901899,0.02820680820015285,0.00023736115532414076,ALMOND
ngc1385,125608.13969988718,84153.53781943592,5.217753904489655,0.017699975963931427,7.603040665381084,0.026472203417702837,0.040500969583945334,0.02674120006756609,0.17348532392336186,0.023386707749023128,23.79088843077815,0.08283491641641315,20.327670922951466,0.07077671465453388,0.4370093906105553,0.28854014276128376,0.03310518099957948,0.00021295434242197102,0.04602161729963253,0.00029604137338392266,ALMOND
ngc1385,174727.68415689468,117446.44699610713,7.942346084714194,0.022917863761552,10.876460840251486,0.031442580766353395,0.20766772456429156,0.026994758597240206,0.22131640027914223,0.03201803443731054,34.03383958609683,0.09838786400211245,26.154537357881324,0.07560971949978315,2.2407548928728924,0.29127606389293287,0.050871632593484845,0.000212954342421971,0.07071989144704001,0.0002960413733839226,ALMOND
ngc1511,12305.761822538247,6609.138577611208,0.0,0.03209154261265393,0.0,0.07328030053522404,0.0,0.005683383987584351,0.0,0.006571018585391117,0.0,0.09479398262659382,0.0,0.19850506859908554,0.0,0.02535143396465402,0.0018909635300386164,4.2809583141029635e-05,0.006358854411970216,0.0001439583060734032,ALMOND
ngc1511,15818.947252186326,10576.220977777552,0.0,0.02957061119789089,0.0,0.06495468350929576,0.0,0.008689802595475965,0.0,0.006833955066532674,0.0,0.08402412510762579,0.0,0.16962645359104175,0.0,0.038761934288857235,0.003362303496752885,5.339293099478224e-05,0.011306615957989073,0.00017954755310233767,ALMOND
ngc1511,24462.16638134071,14817.280149687,0.0,0.04494006676023007,0.0,0.10013767920711256,0.0,0.009080693870026376,0.0,0.006648625171586519,0.0,0.12953616938925713,0.0,0.2895782360343245,0.0,0.040505552942070235,0.003944377460932478,4.8295723245553634e-05,0.013263990352798691,0.00016240687245459975,ALMOND
