Galaxy,SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1097,11.987966890161639,3.0598092486386026,1.8131279180842752,0.0441772207523353,3.2887533707727017,0.09521598290753845,0.03391571439670594,0.010620939197609907,0.04438805587479663,0.011063388487892423,9.46077857403587,0.27390844780365997,9.130522771207895,0.26434688227045744,0.3364329652720476,0.10535629668390747,0.003940894343811675,5.3148042997750976e-05,0.005959207070756195,8.03675932409588e-05,ALMOND
ngc1097,16.272848370911806,3.90661586811573,3.0556017698814975,0.06300871990432072,5.38345860084024,0.13494299057599304,0.08481138561078946,0.011118555847653686,0.0677977905203144,0.012689399087388276,15.486630964082272,0.38819139352420434,14.227226512785604,0.35662287677622284,0.8413016342843206,0.11029249360975582,0.006110550447774514,5.0018896060593056e-05,0.00924004356822474,7.563586665137691e-05,ALMOND
ngc1097,22.876251124063632,6.6991322000315385,4.749462459945944,0.0865024281132131,7.687389885844473,0.17080829556479746,0.163385661168222,0.014146490677299568,0.12490675282137129,0.016530965945500298,22.11436533021923,0.4913653536042878,18.733947234155494,0.41625488544027905,1.6207331453144258,0.14032863206382942,0.011288353663959434,6.104276446892888e-05,0.017069637270812937,9.230556363759481e-05,ALMOND
ngc1097,32.030007909003345,12.629909770029053,5.8878051791655786,0.1939553528767915,9.377893562921528,0.35306954851133254,0.19141499794421601,0.01816552728278693,0.26779199014177163,0.02928185051981845,26.977448439325013,1.0156775054602887,23.419144369763828,0.8817104474129144,1.898775140121187,0.1801961809795127,0.014877530215794684,8.20722705486847e-05,0.022496995738180942,0.0001241052442156286,ALMOND
ngc1097,46.47171283391318,23.379991427310973,12.758694118645053,0.2468043772347024,18.262529256825296,0.4575675710639,0.6038864803952038,0.033215083372362356,0.5512080294943189,0.025906598761734536,52.53593870436122,1.3162876581036793,41.98711694597189,1.0519869864008102,5.990359421908306,0.3294829311278634,0.050041983454976985,0.00010462202726315243,0.07567077815923656,0.0001582037654986721,ALMOND
ngc1097,63.899085096560796,91.29438453534148,42.773438108633854,0.07870647649168379,53.426230085714046,0.09934288002166489,2.7763766641282928,0.0661075158328134,1.9976986355470672,0.09086723348292139,153.69158945709458,0.2857803200278166,63.901728771818995,0.11882144340656488,27.54076245893609,0.65576526910966,0.09718830406039633,0.00029591577975703547,0.14696289172557267,0.0004474678215734292,ALMOND
ngc1097,97.24451786822291,87.28918936494449,74.01544910349185,0.4783198083889905,84.4814976684678,0.5440105366283299,5.869327560929377,0.0593537226952105,4.461942566675134,0.06271968198723449,243.02848311684525,1.564958708890297,93.6644815761531,0.6031434845676961,58.221839362705886,0.5887698160420863,0.2671010662214868,0.00018715357192339603,0.40389577176384883,0.00028300349916117327,ALMOND
ngc1365,6.228269174990357,1.9095923182189023,2.510621235150168,0.04079596129352636,4.531385104307274,0.07410800707785357,-0.0018637572268977078,0.01593344211542535,-0.004021689162527768,0.018514131017293777,11.193066292398411,0.18305569200716898,8.268003298659757,0.1352180917914861,-0.015874843253870657,0.13571558163614908,0.006161357865826625,4.430317814425458e-05,0.010850445953667152,7.802001612276563e-05,ALMOND
ngc1365,8.98847106288444,3.6981624390008747,3.037148445813121,0.06097227027837138,5.355459567240157,0.10852867055194707,-0.014478998568279167,0.013852870546829038,0.0037711484492319847,0.01792019338563123,13.228629344568187,0.26807887128355556,9.68668518446102,0.1963011860934574,-0.123327131574452,0.11799398836570807,0.007425020423009597,5.930120098850828e-05,0.013075816168962561,0.00010443225183886245,ALMOND
ngc1365,13.56168895355429,6.100480220896406,4.87891062356357,0.045576589495308795,8.511623174666434,0.0793060320866048,0.0019958165385105565,0.021147430877956397,-0.02301360136243602,0.02210387891717572,21.024733112927596,0.19589543905431203,14.893300424926341,0.13876654747711398,0.016999679065001275,0.18012654521985533,0.007947485360242866,6.496121093710728e-05,0.013995901917524273,0.00011439980012641064,ALMOND
