Survey,Galaxy,W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol (MW) [Msun/pc2],e_SD_mol (MW) [Msun/pc2],SD_mol (SL24) [Msun/pc2],e_SD_mol (SL24) [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_star [Msun/pc2],e_SD_star [Msun/pc2],P_DE (MW) [kB.K/cm3],e_P_DE (MW) [kB.K/cm3],P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Reference
ALMOND,ngc2903,76.61761567271213,0.11109646074200649,94.85453388511684,0.13754021066101102,6.611575174673042,0.04344974910394273,4.815265365086234,0.042310986101259294,162.54721652247196,0.2356954115650307,65.98753144697102,0.09568271124719052,39.06864824572238,0.25675015699882386,1005.6270690244373,0.2648253119526902,1737427.7154366702,6312.168463245683,506922.2840269448,3171.2379019199925,0.2738649197888605,0.00019267073400742993,0.6951911262074847,0.000489084124630175,Neumann23
ALMOND,ngc2997,47.8374005162582,0.08996639094343267,61.49074855550617,0.1156438406821212,2.4155627927857264,0.10690805287575658,2.2251663429199313,0.11425564239857924,224.33159241279498,0.4218938221175515,84.19240454052569,0.1583381768159889,30.387921290001596,1.344909561348753,1295.8895044655324,0.5580100596014995,2942937.742910678,9562.79380848159,731886.5106411406,2868.3925910136145,0.11561104657603137,0.00039956222031684263,0.13785036818360685,0.00047642332470983277,Neumann23
ALMOND,ngc3059,23.231145137782967,0.4593630692487104,27.34023387416037,0.5406144928252309,0.6899837972801014,0.13552848334650835,0.8682737674288559,0.16729655798595774,103.6134736743468,2.048810034988688,49.7333703522287,0.9834071249430814,9.01685120459366,1.77111429737476,350.1819366809618,0.2037980353313611,677220.100140679,20382.356187483143,237346.4867232731,6273.885738880083,0.15668733748127697,0.00020740730383273117,0.17984946459906495,0.00023806705218096916,Neumann23
ALMOND,ngc3521,16.41841146174245,0.10968025361730724,24.70731327735696,0.16505277582897032,0.6053775423707757,0.1305024201488047,0.5810120771715865,0.1540637719693098,38.86625620686386,0.25963905508503204,14.285793878664954,0.09543368427497424,3.283790902457782,0.7078932237147614,2563.9429333797,0.39363114417431255,389076.93798931636,3906.0548272330807,168627.80720308537,2593.104848171603,0.021402077949315586,0.0001822749460801481,0.059183141080422434,0.0005040446948579015,Neumann23
ALMOND,ngc3621,10.152018246296175,0.081426646229516,16.306063953428524,0.1307866149094145,0.1849428049751028,0.12523754922603944,0.16051492578130566,0.13143052212447018,29.076405745247968,0.2332141399674845,16.72572570439871,0.13415261052755434,1.1371847355384668,0.770066341944321,516.901728892562,0.2664130267756156,220047.2003839687,3308.0667004767083,136738.53329968636,2668.720217920628,0.01529212910565524,0.00018771944778491574,0.03730487882651003,0.0004579382769143576,Neumann23
ALMOND,ngc4303,42.18266955287105,0.11084885972296016,52.611599075772865,0.138254307457742,2.45371123169868,0.13059902590564598,1.9509363115634821,0.1377212032446724,209.87878678447635,0.551525648843484,80.98332904015875,0.2128103739242813,33.75300906991809,1.7965072861748468,1731.1716087712996,0.5778523914260241,3029890.044464368,13223.077886575067,850237.2595074304,4572.852454796698,0.1294150953017079,0.0004809315604058256,0.14111953940256194,0.0005244275417052515,Neumann23
ALMOND,ngc4321,70.76815936995796,0.13313812594316318,86.31134785357352,0.16237996301104116,6.251135746223492,0.03912939797610895,4.170462983284529,0.04874313599670371,293.83364713722733,0.5527974934939781,110.0433111313721,0.20702757210371706,73.3828473687931,0.459344790432408,1232.579196224049,0.5373808536323365,4538818.94576137,17982.607329114133,1044697.4070280059,6469.5790574955445,0.1466160695025051,0.0003624713818460863,0.18734288445469693,0.0004631581956721695,Neumann23
ALMOND,ngc4535,22.945072886909077,0.1384131520161546,31.341895516409757,0.1890658866053245,1.0421875367417193,0.119814123170943,1.0273579873454606,0.10848062287574273,96.90844236812164,0.5845875073598205,48.66866264897809,0.29358734377781287,11.11179529189506,1.277457235686903,349.1641941848922,0.4138725152577432,587720.1394974327,5538.491306883249,218181.48004737246,1938.3734491011905,0.0724697835507017,0.0004547574110197346,0.10195531400133084,0.0006397829876573486,Neumann23
ALMOND,ngc4536,62.42225679201759,0.08079602014584579,72.69318441768237,0.09409015781415668,2.0908879276081698,0.12149619482366344,2.662800371229659,0.15136064264684038,128.61637084974114,0.16647412997074024,59.83894986817541,0.07745232626183444,12.756611050845956,0.7412543164359042,609.5591120323202,0.20846893657874596,1137941.4912522912,4447.575854427908,399185.0853668291,2608.168723575948,0.23628689794804708,0.00019835669319178163,0.5809333925785787,0.00048767844394785815,Neumann23
ALMOND,ngc4569,77.85495744146513,0.13810611245944587,105.50114784006547,0.18714740675512354,4.364531826130951,0.25685501083232026,3.4161666952107526,0.21644645950165442,156.96330201797568,0.2784355955341535,62.37758661374024,0.1106509626994912,22.39136701084126,1.3177438142817959,903.2761246992892,0.2698918041320314,1547986.7596259033,6653.581244105586,432633.4381440143,3163.4108088325615,0.07507726522220644,0.00013047201670578811,0.21951123840889825,0.000381474656542535,Neumann23
