Galaxy,SD_star [Msun/pc2],e_SD_star [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1097,57.14927993256498,11.446248338740144,1.6063875329876853,0.009561207069580305,2.929041304186483,0.017604417836659874,0.0224482190222206,0.007900538628485228,0.01743209374845575,0.009667096456076156,8.425992492894894,0.05064274522911851,7.7937711029923955,0.04684290481812482,0.2226791039216788,0.07837079906197698,0.00450651908048137,4.1641123216800014e-05,0.0068145141752081525,6.296745212097546e-05,ALMOND
ngc1097,88.83109761776421,22.584208199788524,1.8140901028457708,0.009021626616861036,3.2446618838248047,0.016278846083282013,0.014999623661213135,0.009164415924103315,0.02886445093609937,0.011746618275145566,9.333940301904798,0.046829464198635554,7.689024982532242,0.03857673270831045,0.14879143653824464,0.09090805484055814,0.00488904380345327,5.2724545866232524e-05,0.007392947351792228,7.972720380637457e-05,ALMOND
ngc1097,139.37907831468917,40.91059752183612,2.3318039706125693,0.008756224247326269,4.038793064095935,0.015095416424555985,-0.010307965660461937,0.014776939296533412,0.05843253738069681,0.014591261118531158,11.618422720699767,0.043425084271987775,8.485988253511737,0.03171727900580732,-0.10225169997918349,0.14658247934947324,0.005398066049138361,6.104276446892888e-05,0.008162663233777758,9.230556363759481e-05,ALMOND
ngc1097,213.17280450182525,59.01614780349656,4.7947706020787475,0.011831905492422624,8.136338875677472,0.02031504575956836,0.06395181920635089,0.020302800197896854,0.13377247374649226,0.021930477111642453,23.405859858691315,0.0584404265034704,14.894867341582962,0.03718993471762975,0.6343814527528927,0.20139724005246862,0.007080497207458399,5.748376266528692e-05,0.010706744546301376,8.692383379081496e-05,ALMOND
ngc1097,304.78282857579126,137.5891166490899,10.38188273766184,0.033917741014305336,15.224305410931239,0.04828035020401334,0.4771258300784282,0.03077300037828374,0.33518069884637214,0.02892405199682213,43.79586007158557,0.13888840276574418,22.40820718083285,0.07106242688470346,4.732934590248917,0.305258254226524,0.017654866495521455,9.357678596169801e-05,0.026696733298261645,0.00014150174958058663,ALMOND
ngc1097,481.5721638126303,306.5100772775466,22.06953047002321,0.07708584994465958,28.543502591988865,0.09808165068574956,1.1425751273759488,0.035697255118334895,0.9269690692849508,0.0287979178187726,82.11128269760711,0.28215213325521904,35.957915578339694,0.12355917791715706,11.333977331360966,0.35410527553860494,0.06469498964247702,0.0001323375598303176,0.0978282608173297,0.00020011369335638706,ALMOND
ngc1097,757.3235506599658,682.8650442839788,32.610454188681615,0.09241959642695143,39.89231251093183,0.11316675283320642,2.1384200021639117,0.05182409975907126,1.5877211137321865,0.07646000236526375,114.75847925425094,0.3255475463780555,46.80227170783937,0.13276896677629854,21.21243780714636,0.5140783812058565,0.14326504095241027,0.000187153571923396,0.21663763870665637,0.0002830034991611732,ALMOND
ngc1097,1252.8133052076728,1128.3373008601613,68.76091928727692,0.4758962040221161,78.20708717602605,0.5405731045880137,5.587415800138842,0.07087076497403419,4.161970685134292,0.06402580358089131,224.97884495329646,1.555070225404201,86.71929733895035,0.5994101235952654,55.42536547692993,0.7030151667283903,0.29061240667892996,0.00018715357192339605,0.4394483479238675,0.0002830034991611733,ALMOND
ngc1365,36.89714814923907,6.8568809323838895,0.8667563436351235,0.035406237754018036,1.6696745575783072,0.06921021255958533,-0.0009886156500277478,0.006762315624806775,0.001471669033734597,0.00939882525777044,4.124297004008885,0.1709575503865391,2.7638647623364925,0.11456583968357263,-0.008420688196947936,0.05759907944432073,0.004451474046862531,2.685815519059229e-05,0.007839258749686951,4.729849615245947e-05,ALMOND
ngc1365,51.686222944693775,10.49587685513762,1.2363715305892242,0.03151112612357649,2.178296784163161,0.056981961962905316,0.005915606616048425,0.008746095120656648,0.020494352518181467,0.00844088365989343,5.380655086340063,0.14075230046447942,3.8714846268135426,0.10127398219972675,0.05038710322676762,0.0744962311185649,0.0066271820857959915,2.9346483731985732e-05,0.011670784689503373,5.168056175249659e-05,ALMOND
