Galaxy,SD_star [Msun/pc2],e_SD_star [Msun/pc2],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1097,206.94632310641407,58.93357885438741,4.775026075722292,0.011486514779755997,8.101477665417521,0.019723136996464417,0.05385158823055462,0.018344081969021934,0.14307460714044284,0.01945996882123512,23.305574384558962,0.056737678649671275,14.927306635010341,0.03634069313148791,0.5341904139508394,0.18196738596875794,0.006930675979441239,5.918315595140712e-05,0.010480192996460611,8.949356431468587e-05,ALMOND
ngc1097,286.4263452326745,120.10841526244533,8.843173422177266,0.02191221697517114,13.275233384061401,0.035273123795042376,0.3786506442695517,0.027645068018487002,0.2797451327724208,0.030275107597839232,38.188951680418995,0.10147042852320828,20.421039359605587,0.0542599763420829,3.7560924580184962,0.27423017247457304,0.014340594214142003,8.726080284895809e-05,0.021685070185643182,0.00013195106185831385,ALMOND
ngc1097,467.71012825487924,272.144045711852,20.989937227001107,0.03109433206245143,27.28349391448184,0.04142587284000316,1.102099186247377,0.03328999601713563,0.8550217302668748,0.03501117389795995,78.48660740112632,0.1191700823961006,34.36897875062174,0.05218411350931507,10.932469029433976,0.33022604044063353,0.05902739702100832,0.00012080711120709083,0.08925803409276468,0.0001826779731949415,ALMOND
ngc1097,757.3235506599658,682.8650442839788,33.319612405233784,0.05320457395850196,40.766371660062894,0.06647327282071998,2.1857018278233227,0.04404953796368492,1.7159479084421037,0.06793145388257552,117.2728909897215,0.19122410358808675,47.82773128166439,0.07798746124361992,21.68145829198735,0.4369572317611424,0.14326504095241027,0.000187153571923396,0.21663763870665637,0.0002830034991611732,ALMOND
ngc1097,1219.1685480887843,1094.277247591121,72.39243569797645,0.03547807578174784,81.99458596455571,0.04135001513900612,5.91363009657107,0.058593025905872995,4.446821011930297,0.05467851670464815,235.87436776937471,0.1189518620459076,90.85718013521097,0.045819437099205766,58.66130624996252,0.5812239488515488,0.28187962580812276,0.00018715357192339603,0.4262431094747837,0.00028300349916117327,ALMOND
ngc1097,1747.0842766791393,1330.4876321452198,107.13266202224207,0.04570062301710396,116.55790421167626,0.04994615793537112,9.81388473239219,0.05735380774898552,7.187000684256679,0.05169800692072837,335.3028939781103,0.14368044288445644,125.59574456154375,0.05381895750707045,97.3505762767438,0.568931303788436,0.4255949979234768,0.00015817363759869764,0.6435617145855789,0.00023918161141912384,ALMOND
ngc1365,37.6546063028465,6.619588503413204,0.8081451546795506,0.03438426645071108,1.5480430656526845,0.06651877007570942,-0.0025410063819317863,0.006156199702735555,-0.0005801764874231318,0.007861312132882894,3.8238525877811136,0.16430936369510896,2.5742911921919505,0.11061622749438352,-0.02164341870179965,0.0524363924174422,0.004594153604511574,2.5382445476825562e-05,0.00809052427632527,4.469970075033925e-05,ALMOND
ngc1365,55.4719891876819,10.742855601049584,1.3893226897826234,0.031592805689977924,2.4413169313678615,0.05622534766051755,0.007143034129542144,0.008946965161821557,0.02341027365559967,0.007090247349688049,6.030346488887202,0.13888337212370497,4.376643564565118,0.10079736180175661,0.060841908767419954,0.07620717306522569,0.006997807878704395,2.7954854234320396e-05,0.012323474441107037,4.9229835633227286e-05,ALMOND
ngc1365,81.69094054450922,21.094636101128064,3.6778799802506685,0.05925240488496741,6.299547355698602,0.10353731488294599,0.02444376976196419,0.010732179151620681,0.008790814710709291,0.011928982777094407,15.560639747306759,0.255749622366053,11.040103273663918,0.1814515526979194,0.20820362647274251,0.09141301203055656,0.00822917465481706,3.719668117759948e-05,0.014491970240946332,6.550513499822221e-05,ALMOND
ngc1365,125.99852690881876,44.21836363664884,9.386736256463777,0.075384432288785,15.815311910363475,0.12910546459246516,0.05081767808901946,0.017244002779762936,0.07600320032321234,0.0168622680088715,39.06572285798215,0.318906027766376,24.67364671228508,0.20141889328736642,0.432847509614576,0.14687848677250012,0.010011648020436434,5.0572234125992e-05,0.017630991109183047,8.906012361069997e-05,ALMOND
