Name,L_CO [K.km/s.pc2],L_HCN [K.km/s.pc2],L_TIR [Lsun],M_mol [Msun],M_dense [Msun],SFR [Msun/yr],Type,Target,Reference,Publication date
Gao04,,16000000.638979344,8100092903.124498,,240000009.58469015,1.1988137496624258,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,379996853.03685457,456982953285.9614,,5699952795.552818,67.63347708632229,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,17999896.172455944,16998085132.034946,,269998442.58683914,2.515716599541172,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,53999532.50715832,21399321324.559387,,809992987.6073748,3.1670995560347897,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,23000114.603619043,11500057186.992374,,345001719.05428565,1.7020084636748716,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,21999864.198351648,41995233466.40664,,329997962.97527474,6.2152945530281825,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,8000000.239617253,12600854590.882393,,120000003.59425879,1.8649264794505942,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,8999947.996372022,13498950350.559801,,134999219.94558033,1.9978446518828505,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,400000007.98724174,365005997070.8622,,6000000119.808626,54.0208875664876,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1019999596.593719,937993869618.4906,,15299993948.905785,138.82309270353662,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,1000000000.0,892072188725.2694,,15000000000.0,132.02668393133987,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,29999913.3271615,46004466639.347885,,449998699.9074225,6.808661062623488,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,100000000.0,43003123363.054405,,1500000000.0,6.364462257732052,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Gao04,,23999931.380578883,10099502941.20321,,359998970.70868325,1.4947264352980754,entire galaxies,NaN,2004ApJ...606..271G,05/2004
Brouillet05,,3048.2459117066996,1631661.251188606,,45723.6886756005,0.0002414858651759137,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,3810.3072755064545,1792132.0223258338,,57154.609132596815,0.0002652355393042234,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,1524.122940636427,1009880.5316351011,,22861.844109546408,0.00014946231868199496,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,1651.1251779753552,561953.0077001323,,24766.87766963033,8.316904513961958e-05,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,2794.2161599259766,2415127.1492490196,,41913.24239888965,0.0003574388180888549,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,2286.1777831262457,2162121.0250663436,,34292.66674689369,0.0003199939117098189,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,2540.2122146126085,790842.4994129889,,38103.18321918913,0.00011704468991312236,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,3937.313537008506,2338783.385561758,,59059.70305512759,0.0003461399410631402,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Brouillet05,,2667.2271301139585,1378319.8159484041,,40008.40695170938,0.00020399133276036383,clouds and clumps,NaN,2005A&A...429..153B,01/2005
Gao07,,9299936859.758396,19998618696327.45,,139499052896.37595,2959.7955670564625,entire galaxies,NaN,2007ApJ...660L..93G,05/2007
