Galaxy,P_DE (SL24) [kB.K/cm3],e_P_DE (SL24) [kB.K/cm3],W_CO21 [K.km/s],e_W_CO21 [K.km/s],W_CO10 [K.km/s],e_W_CO10 [K.km/s],W_HCN [K.km/s],e_W_HCN [K.km/s],W_HCOP [K.km/s],e_W_HCOP [K.km/s],SD_mol_MW [Msun/pc2],e_SD_mol_MW [Msun/pc2],SD_mol_SL24 [Msun/pc2],e_SD_mol_SL24 [Msun/pc2],SD_dense [Msun/pc2],e_SD_dense [Msun/pc2],SD_SFR [Msun/yr/kpc2],e_SD_SFR [Msun/yr/kpc2],SD_SFR [Msun/yr/kpc2] (no inclination correction),e_SD_SFR [Msun/yr/kpc2] (no inclination correction),Survey
ngc1097,1315586.9272037009,1087638.5966956979,110.47703445302733,0.03653730964761928,119.54201209645905,0.039678330816939646,10.250638950994169,0.06552006314515511,7.493943500800622,0.053366923245545525,343.88729686762565,0.11414291669983492,128.55737695688174,0.0426707066611627,101.68303748161854,0.6499379276196897,0.4377567198696881,0.00017084705510018262,0.661952012089555,0.00025834566723911503,ALMOND
ngc1385,11927.589882133962,7573.782483380778,0.4205534782668109,0.013801371958130727,0.8785665881736832,0.028722079827926853,-0.009102744859774248,0.02679759043299499,-0.01397062876276323,0.027290293452269215,2.7491474264266422,0.08987506798398291,3.2767586183547537,0.10712372161667835,-0.09821950004945536,0.28914860027441347,0.002152709748846223,0.0002020262279030539,0.002992618714872678,0.00028084950646126334,ALMOND
ngc1385,15959.7892912653,8569.612414585063,0.5439199135071249,0.011064352406306825,1.0901633871465803,0.022266524104671503,0.021682281244790963,0.017167437502309882,-0.04329905123751944,0.021541075129209976,3.4112609226224,0.0696748069660522,3.906054465560389,0.07978093645137786,0.23395391792271616,0.18523831597856796,0.0027054263128043136,0.00017074332607901899,0.003760985158239057,0.00023736115532414076,ALMOND
ngc1385,21777.943340238202,12604.285008237548,0.7901596763895214,0.012294780525438417,1.5084208305535831,0.023652175246714917,-0.030005962862560406,0.028521349606699227,0.006906909882218315,0.023213594414144827,4.720042054985284,0.07401068693502812,5.341105332100968,0.08374901537235702,-0.3237672500178478,0.30774812897207837,0.003924361788877143,0.0001844238703836371,0.005455504876874086,0.00025637934992171145,ALMOND
ngc1385,30039.287131299003,13487.672483827311,1.051018800445263,0.009339492008186066,1.9193557116703257,0.017193713827202733,-0.013724099730097805,0.02217335188819567,1.0343331950934953e-05,0.01603073372962243,6.00590995169125,0.053801333621198655,6.474980204858557,0.05800329558623407,-0.14808436739514438,0.23925261780139992,0.005378725762379422,0.0001428541157277883,0.0074773087209233,0.0001985905905116544,ALMOND
ngc1385,39866.18991135032,19406.79163350835,1.4465319777028687,0.010489015602990457,2.5230061787171874,0.018464925846313894,-0.04679287115911446,0.020577510755421247,0.08832955794198771,0.01896988281738765,7.894809609704481,0.05777911891126614,8.100315775427722,0.059283140638620495,-0.5048996189530444,0.2220333371740675,0.007592193963664245,0.00015494704363054203,0.010554391624222639,0.0002154017385908523,ALMOND
ngc1385,54206.55352086385,32766.24406174709,2.100309880244657,0.012696372584167719,3.4762033555315646,0.021001890026598552,-0.01400775127670138,0.02744069618016855,0.08371432169414303,0.023287520172899548,10.877485710515117,0.06571760489633455,11.060495505026227,0.06682328002089151,-0.15114499509863785,0.2960877736709405,0.011679388526564537,0.00019262445035196594,0.016236260694967954,0.0002677794976189029,ALMOND
ngc1385,72867.49994470623,40539.9485464945,2.815913795980473,0.014729658110774788,4.480575826024381,0.023503547685822346,0.0192813915838577,0.022582768307543542,0.06223033516737185,0.018126773271139776,14.02029586241136,0.07354561225312695,13.26087942584139,0.06956197686263808,0.2080480855827532,0.2436702606816359,0.016266918414399516,0.00017718872329272297,0.02261367771773697,0.0002463213118602724,ALMOND
ngc1385,97800.91649472063,56578.42618021079,3.953779792580008,0.02048910210031687,6.0493900469503235,0.031570997301947144,-0.006847897707302762,0.023272174644960803,0.13997927317708064,0.022242847671229454,18.92931657416583,0.09878969579618517,17.075526786069034,0.08911500265453766,-0.07388948054266013,0.2511090219382849,0.022235322675077163,0.0001844238703836371,0.03091073601739985,0.00025637934992171145,ALMOND
ngc1385,139527.8059177437,80868.43801617438,6.123149276137003,0.014614469001949671,8.64460729382771,0.020854854232134467,0.08301840362065603,0.021522880167766278,0.17340598023414105,0.0236164561170727,27.050083868654113,0.06525751105554348,21.95914805606865,0.052975782034442746,0.8957766282737439,0.23223396483890565,0.04148590539690442,0.0001844238703836371,0.057672195223138864,0.00025637934992171145,ALMOND
ngc1385,193548.39409348092,117103.14251264159,9.171386343431632,0.02015689839306743,12.187443899439717,0.026879281694277505,0.2604962865858728,0.0281745457537844,0.3000591936068469,0.028064485213954313,38.13607355648743,0.08410871650335454,26.509546719527115,0.05846653159934031,2.8107802017246275,0.30400608175739197,0.06414254338921774,0.00019262445035196592,0.08916862845489805,0.0002677794976189029,ALMOND
ngc1511,12030.651398889553,6973.7373796616885,0.0,0.034615274213089894,0.0,0.08132654861661427,0.0,0.006476698527475548,0.0,0.007524586773411796,0.0,0.10520245387010271,0.0,0.22954997012895606,0.0,0.028890111135717336,0.001453530786026533,4.623963462399097e-05,0.004887873565425455,0.00015549274217395995,ALMOND
ngc1511,15480.306727139798,9367.888832551469,0.0,0.027598833813480016,0.0,0.05720492959142725,0.0,0.0072746770336075675,0.0,0.005903997173163034,0.0,0.07399919299237488,0.0,0.14330417036360574,0.0,0.03244959250238417,0.0035719864962725635,4.8295723245553634e-05,0.012011729327670839,0.00016240687245459975,ALMOND
ngc1511,22954.54374340877,17385.842594253445,1.0902098518064514,0.08646757559241622,2.0217445505041374,0.20187577824785063,0.03268624770238863,0.026853844446586877,0.0677698701162756,0.023528148061269512,2.6152897353877367,0.2611426109907718,5.126202877033756,0.5118629823928603,0.14580103191859706,0.11978487916212334,0.004465987202504843,6.054189307758271e-05,0.01501803814580734,0.00020358778886526388,ALMOND
